time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-01T22:09:21.210Z,37.4255,-122.4446667,5.74,1.17,md,14,213,0.07549,0.07,nc,nc73204496,2019-07-02T03:06:03.611Z,"4km SSW of Half Moon Bay, CA",earthquake,0.55,0.91,0.213,13,reviewed,nc,nc
2019-07-01T22:07:10.927Z,39.6056,-120.0305,7.8,0.9,ml,12,85.43,0.054,0.1392,nn,nn00688969,2019-07-01T23:05:02.492Z,"9km SSW of Cold Springs, Nevada",earthquake,,1.4,0.5,4,reviewed,nn,nn
2019-07-01T22:04:57.170Z,19.0668335,-155.4568329,38.11,2.39,ml,26,193,0.08825,0.21,hv,hv71018976,2019-07-01T22:10:35.060Z,"15km S of Pahala, Hawaii",earthquake,0.97,1.12,5.03,5,automatic,hv,hv
2019-07-01T22:04:18.300Z,38.7986679,-122.73983,2.04,0.72,md,8,113,0.0156,0.03,nc,nc73204491,2019-07-01T22:34:02.405Z,"3km NNE of The Geysers, CA",earthquake,0.45,0.85,0.15,2,automatic,nc,nc
2019-07-01T22:00:04.898Z,63.0362,-151.5723,2.7,1.5,ml,,,,0.85,ak,ak0198dcwpkj,2019-07-01T22:04:32.829Z,"109km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T21:58:39.120Z,38.7956657,-122.7646637,0.16,1.48,md,14,62,,0.04,nc,nc73204486,2019-07-02T00:45:05.166Z,"2km NNW of The Geysers, CA",earthquake,0.2,0.59,0.15,6,automatic,nc,nc
2019-07-01T21:55:02.405Z,66.3154,-157.2448,2.1,1.7,ml,,,,0.94,ak,ak0198dcn25b,2019-07-01T22:00:41.195Z,"67km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T21:47:30.520Z,19.0888329,-155.4506683,40.77,2.51,md,25,186,0.06711,0.11,hv,hv71018961,2019-07-01T23:33:52.040Z,"13km SSE of Pahala, Hawaii",earthquake,0.89,1.5,0.22,9,automatic,hv,hv
2019-07-01T21:40:02.077Z,64.7551,-149.1891,9.5,0.8,ml,,,,1.05,ak,ak0198dcjueo,2019-07-01T21:47:07.364Z,"19km N of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-01T21:27:26.811Z,38.7869,-117.1843,7.9,1.4,ml,9,119.87,0.047,0.2245,nn,nn00688965,2019-07-01T22:17:57.851Z,"64km E of Gabbs, Nevada",explosion,,5.7,0.35,6,reviewed,nn,nn
2019-07-01T21:17:00.820Z,35.4830017,-120.0166702,7.65,2.61,ml,41,51,0.06248,0.31,ci,ci38439583,2019-07-02T00:18:03.001Z,"15km N of Simmler, CA",earthquake,0.48,1.58,0.208,25,automatic,ci,ci
2019-07-01T21:15:24.400Z,34.0481667,-117.2071667,9.12,0.9,ml,13,95,0.1014,0.18,ci,ci38439575,2019-07-01T21:21:10.301Z,"2km WSW of Redlands, CA",earthquake,0.33,0.96,0.132,18,automatic,ci,ci
2019-07-01T21:02:27.388Z,69.3222,-143.8173,0,2.4,ml,,,,0.91,ak,ak0198dcbr4r,2019-07-01T21:07:58.717Z,"90km S of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-01T21:00:54.526Z,-21.2669,-173.7684,10,4.9,mb,,88,4.215,1.3,us,us700048c2,2019-07-01T22:28:43.040Z,"122km E of `Ohonua, Tonga",earthquake,15,1.9,0.11,26,reviewed,us,us
2019-07-01T20:52:08.520Z,38.8209991,-122.7911682,3.15,0.88,md,8,98,0.01341,0.02,nc,nc73204466,2019-07-01T23:08:03.605Z,"6km NNW of The Geysers, CA",earthquake,0.62,1.39,,1,automatic,nc,nc
2019-07-01T20:42:45.494Z,59.8004,-153.5698,120.5,2.7,ml,,,,0.73,ak,ak0198dbyxg7,2019-07-01T20:52:14.157Z,"75km E of Old Iliamna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T20:42:12.490Z,33.8771667,-117.5009995,-0.56,1.28,ml,16,74,0.07564,0.29,ci,ci38439495,2019-07-01T20:48:12.845Z,"2km E of Home Gardens, CA",earthquake,0.84,1.47,0.252,4,automatic,ci,ci
2019-07-01T20:39:50.663Z,-7.4036,128.4684,138.63,5,mww,,27,2.863,0.95,us,us700048ay,2019-07-01T20:58:40.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.3,6.3,0.066,22,reviewed,us,us
2019-07-01T20:29:36.510Z,18.3918,-68.134,101,2.91,md,11,194,0.6549,0.31,pr,pr2019182012,2019-07-01T23:14:10.381Z,"35km SE of Punta Cana, Dominican Republic",earthquake,2.94,1.93,0.36,8,reviewed,pr,pr
2019-07-01T20:24:34.460Z,19.0879993,-155.4746704,43.02,2.38,md,13,190,0.0681,0.11,hv,hv71018821,2019-07-02T00:13:02.360Z,"12km S of Pahala, Hawaii",other event,1.68,2.05,0.04,5,reviewed,hv,hv
2019-07-01T20:21:14.020Z,19.0993328,-155.4388275,42.05,2.5,ml,51,185,0.05997,0.17,hv,hv71018816,2019-07-01T20:26:53.860Z,"12km SSE of Pahala, Hawaii",earthquake,0.7,0.95,0.18,4,automatic,hv,hv
2019-07-01T20:18:46.680Z,45.7043333,-112.248,0.33,1.05,ml,10,83,0.185,0.09,mb,mb80350404,2019-07-01T21:20:43.540Z,"21km SSW of Whitehall, Montana",earthquake,0.3,0.93,0.213,4,reviewed,mb,mb
2019-07-01T20:18:09.570Z,19.1053333,-155.4140015,41.69,2.38,md,25,251,0.06746,0.12,hv,hv71018806,2019-07-01T20:21:16.120Z,"13km SSE of Pahala, Hawaii",earthquake,1.3,1.8,0.19,8,automatic,hv,hv
2019-07-01T20:16:16.420Z,19.1240005,-155.4904938,44.93,2.45,md,24,166,0.04118,0.12,hv,hv71018801,2019-07-01T20:19:31.110Z,"9km S of Pahala, Hawaii",earthquake,1.28,1.2,0.16,5,automatic,hv,hv
2019-07-01T20:15:34.310Z,19.0879993,-155.4813385,43.05,2.39,ml,15,180,0.06948,0.13,hv,hv71018796,2019-07-01T20:21:20.550Z,"12km S of Pahala, Hawaii",earthquake,1.07,1.24,4.34,8,automatic,hv,hv
2019-07-01T20:12:12.484Z,66.8221,-147.2829,0,1.6,ml,,,,1.15,ak,ak0198dbsfj4,2019-07-01T20:15:05.092Z,"93km WNW of Fort Yukon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T20:07:43.580Z,33.6633339,-116.7279968,13.98,0.88,ml,18,75,0.04908,0.1,ci,ci38439447,2019-07-01T20:13:18.602Z,"9km S of Idyllwild, CA",earthquake,0.46,0.56,0.249,5,automatic,ci,ci
2019-07-01T20:03:05.729Z,62.7147,-150.0634,9.4,1.2,ml,,,,1.08,ak,ak0198dbqhkc,2019-07-01T20:06:23.080Z,"43km N of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T19:56:54.716Z,-30.6063,-177.9367,10,5.2,mb,,70,1.356,1.27,us,us70004895,2019-07-01T20:22:46.040Z,"129km NE of L'Esperance Rock, New Zealand",earthquake,8.5,1.8,0.05,130,reviewed,us,us
2019-07-01T19:52:47.600Z,61.4173,-149.9658,42.4,1,ml,,,,0.82,ak,ak0198dbfna0,2019-07-01T19:55:40.777Z,"11km S of Big Lake, Alaska",earthquake,,1.3,,,automatic,ak,ak
2019-07-01T19:41:01.198Z,37.7798,-114.3141,0.8,1.5,ml,12,79.95,0.218,0.1887,nn,nn00688946,2019-07-01T22:36:53.359Z,"20km SE of Pioche, Nevada",earthquake,,2.4,0.71,6,reviewed,nn,nn
2019-07-01T19:38:06.150Z,32.2437,48.9773,10,4.4,mb,,63,3.947,0.97,us,us7000488s,2019-07-01T20:27:30.040Z,"24km NNE of Shushtar, Iran",earthquake,7.9,1.9,0.085,40,reviewed,us,us
2019-07-01T19:36:23.064Z,66.3259,-157.2509,8.7,1.1,ml,,,,0.47,ak,ak0198dbc5xj,2019-07-01T19:42:28.025Z,"66km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T19:23:11.943Z,59.5191,-153.9183,146.5,1.4,ml,,,,0.17,ak,ak0198db9cre,2019-07-01T19:29:24.422Z,"61km ESE of Old Iliamna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-07-01T19:21:41.091Z,62.2541,-150.0948,11.1,1.4,ml,,,,0.52,ak,ak0198db8zko,2019-07-01T19:27:43.284Z,"7km S of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T19:14:28.960Z,47.7461667,-113.8073333,3.73,1.34,ml,14,189,0.181,0.13,mb,mb80350389,2019-07-01T20:42:56.740Z,"27km ENE of Polson, Montana",earthquake,0.66,7.13,0.34,2,reviewed,mb,mb
2019-07-01T19:12:20.021Z,37.2835,-117.5123,0,1.2,ml,11,162,0.118,0.2198,nn,nn00688934,2019-07-01T23:04:56.246Z,"53km SSW of Goldfield, Nevada",earthquake,,0,0.31,8,reviewed,nn,nn
2019-07-01T18:55:06.072Z,62.3025,-150.2637,14,1.4,ml,,,,0.55,ak,ak0198daurm7,2019-07-01T19:01:07.255Z,"8km WSW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
